text,label
"In the 18th century, Russian meddling in Crimea and Syria would have likely led to war with Turkey",assumption
Sasser said he hopes the school district will reinstate Tutka,testimony
" attorneys for the chaplain, along with religious advocacy groups, say his comments are covered by the ""right of conscience clause"" that was passed in last year's National Defense Authorization Act, section 533",anecdote
"to be ""the frontlines"" in his own capital",no-unit
our traditional institutions and self-confidence are in decline,assumption
What is good for them is bad for us,assumption
"In 2009, its FM broadcast was shut down",anecdote
making them cousins instead,anecdote
"At the state and local level, companies and their consulting firms put the location of new factories, warehouses or large retail stores up for bidding by the states and municipalities",assumption
published by Guardian Faber,no-unit
"which is already a cause of increasing frustration, particularly with regard to propping up the Syrian regime",assumption
"As Reagan noted, government too often adds to problems",assumption
While I believe California has much to gain from politicians like Newsom and Harris,assumption
"For Russian President Vladimir Putin, the Arctic is an area that allows Russia to flex its muscles without incurring any significant geopolitical risk",assumption
"In October, when travelling for a conference in Prague, Ismayilova was prevented from leaving the country",anecdote
The prime minister's latest excuse for nobbling debates is that he won't do it unless the Greens are included,assumption
"From the Moldovan to the Georgian and the Armenian- Azerbaijani conflicts, Russia has a major influence and say in the final outcomes",assumption
what can they tell us about the path their sons took?,assumption
"The final commission, the legislative (Taqnin) committee, headed by the foremost opponent of the EVAW law, submitted 34 pages of suggested amendments",anecdote
and,no-unit
They are less likely to tolerate such a situation if their sacrifices at home are paying for long-term military ventures abroad from which they see little tangible benefit,assumption
he shrinks questions,assumption
"""I profoundly disagree with and am deeply disturbed by the sentiments expressed in the paperback regarding the LGBT community,"" the mayor wrote",testimony
These neighbours would be relegated within the Iranian model to the status of periphery states,assumption
" a large number of books from the period had ""Crusade"" incorporated into their titles: ""Khaki Crusaders"" (1919), ""Temporary Crusaders"" (1919), ""The Modern Crusaders"" (1920), ""The Last Crusade"" (1920), ""With Allenby's Crusaders"" (1923), and ""The Romance of the Last Crusade"" (1923)",anecdote
In addition,no-unit
"It was not I that had problems, I was told, it was people of another skin colour",anecdote
"The difference is that vast space in between, three-quarters of people, who are now beset by named and nameless fears",testimony
"Well, despite all that's been achieved, it's seems it's still possible for gay themes to make the men in suits nervous",assumption
"The growth was propelled by a big rise in business investment, up nearly 9 percent; personal consumption, up 3.2 percent; and exports, up 4.5 percent",statistics
"When you thought someone might not want to be disturbed, you didn't disturb them unless you had to",assumption
"One also hears the argument that Coltrane wanted to title his composition ""Allah Supreme""- instead of ""A Love Supreme"" - but was worried about a political backlash, given the ongoing conflict in the Middle East",anecdote
"Beyond this morbid reality associated with the murder of the Charlie Hebdo cartoonists, police officers, and the supermarket hostages, there is nothing but darkness",assumption
Both sides will now go to Acas,assumption
All made for good visuals of the incident and terror in an otherwise peaceful city,assumption
We have now embarked on the longest general election campaign in the history of Britain,assumption
In short,no-unit
if,no-unit
"That's why some people will fight for them, and even die for them",assumption
"The question that needs to be answered is how did this terrorist threat grow to such horrifying proportions, killing thousands and displacing millions- a threat unimaginable in a democratic Nigeria 10 years ago?",assumption
"Thompson said as if they are saying Santa is not ""good enough for the main show.""",assumption
That is why Sony should not buckle to the pressure of these vile threats,assumption
"John R  Lott, Jr  is a columnist for FoxNews.com",other
Let's be clear that the overwhelming majority of Muslims will continue to uphold their tradition that it is impermissible to represent the prophet's likeness in the form of an image,assumption
Aid is much more than a humanitarian gesture,assumption
it comes to certain issues,assumption
my best guess is that Circle is moving to terminate its contract now because it imagined it would be able to swing more favourable treatment than it got,assumption
"she was a young woman, she and her sisters emigrated to the United States all by themselves",anecdote
A hardworking Chinese immigrant family found that out,anecdote
I believe that the reason he came was to tell us that he isn't angry,assumption
"how would you respond to the phrase""We've all got to go some time""?",anecdote
"I became part of a group that would drive around in the leader's ageing hatchback, plastering racist posters on walls and telegraph poles calling for action against the ""Asian invasion""",anecdote
"Yet those brave words must be coupled either with more flexibility as recommended by experts or coupled alternatively with new ideas, new methods and possibly new redlines",assumption
"Evil Russians were ""far more acceptable both to Hollywood sensibilities and the Arab ethnic lobby,"" reported Slate",testimony
"Meanwhile, the Defense Department quietly announced a few days before Christmas that, later this month, another 1,300 troops will deploy to Iraq in its ever-expanding undeclared war on Isis",testimony
"Mungiki operated primarily in the Nairobi slums, in the Central Province and parts of the Rift Valley",anecdote
But it is not only westerners,assumption
It is part of the battle against the poverty that still exists in the shadow of the glittering towers of the City of London,assumption
Immigrants who wish to become fully British or fully American are the kind of people our countries want,assumption
and,no-unit
Elections that were due within six months never happened,anecdote
"That statement, we subsequently learned, was not entirely true",assumption
"The refugees, but also other migrants, are perceived by these people as competitors",testimony
and,no-unit
Would this scenario not spark incredulity among most people?,assumption
"There were cries of Je suis Charlie, Je suis Ahmed(I am Ahmed, the Muslim police officer who lost his life in the attack), Je suis juif(I am a Jew)",anecdote
then he is misleading the American public,assumption
she largely kept quiet when many were hoping that she would raise her voice more loudly,assumption
Senator Feinstein has betrayed our country and its defenders,assumption
"And the key to the narrative is in the facts of slavery, legal segregation and the fight for equal rights",assumption
"From our experience with the captain and crew of USS HAMPTON, we couldn't agree more",anecdote
"With the 2015 parliamentary and presidential elections approaching, the coalition is hopeful that it will have an even larger political impact in the coming year",assumption
Longer term residency permits are costly,assumption
Instead,no-unit
",then",no-unit
"who, while they can have a (delicious) charred aubergine in the restaurants, aren't massively catered for by the shops",assumption
"In some cases, the fence cuts homes, families, and properties into half",anecdote
"This is a strategic decision according to Fahim Dashty, the chief executive of Afghanistan's National Journalists Union (ANJU)",testimony
Bad timing,no-unit
the covert means do not work- as they did after the Orange revolution,assumption
My sister Mamta told me that there were four brothers and four sisters in our family,anecdote
Never forget that Islam's a religion of peace,assumption
"The regional situation in the Middle East has been described by Richard Haass, President of the Council on Foreign Relations, as the Middle Eastern Thirty Years War, or as a new sectarian Cold War waged by Iran and Saudi Arabia",testimony
"European, American and Arab, Muslim, Christian and Jew, black, brown and white alike",assumption
An Islamist's interpretation of the Koran,no-unit
Furthermore,no-unit
You can also go to jail for using speech to defy the government,assumption
we have an inexpressible amount of ground to make up,assumption
Soviet Russia marked the bicentenary of the Treaty of Georgievsk in 1983,anecdote
So there it is,other
promoting the pursuit of truth and justice,no-unit
 this is the hometown of Harvard University,common-ground
Second,no-unit
"As nations start the latest global round of climate change negotiations in Lima, Peru today",anecdote
"We've also heard rumours of the US A-10 ""tank buster"" arriving to support the US mission in Iraq",assumption
Congress has let him,assumption
he remains cagey about running for the Republican nomination in 2016,assumption
In its ideological zeal to punish America,assumption
Take the lethal combination of war and debt,other
"So, what happens when mainstream culture decides to dispose of a word stolen from black language and then used to the point of saturation in popular culture?",assumption
The vote share of the two main parties has steadily declined in recent decades to the extent that it no longer looks as if the two parties will be able to sustain a majority under the current electoral system,assumption
Without this the whole western tradition of Catholic religious art and eastern tradition of icons is utterly inconceivable,assumption
Charming his audience with jokes and anecdotes,no-unit
who see their work as largely cooperative and people-focused- as opposed to the ideological culture warriors who normally represent us in national policy debates,assumption
the Democrats' favorite nuns will now claim to have Vatican approval,assumption
"The US must continue to actively engage with the island, lest we lose the opportunity to influence a neighbour that is gradually rejoining the regional and world economy and political order",assumption
Heck,no-unit
"The collective wound of colonialism, its distortion and often destruction of existing pathways to modernity, is for all practical purposes immeasurable",assumption
that failed and failing states breed instability and are potential safe havens for terrorists,assumption
- and,no-unit
"Only after nearly 10 years of campaigning led by Rodney's mother, Susan Alexander, is an officer now facing a murder charge",anecdote
Lott is also a leading expert on guns and op-eds on that issue are done in conjunction with the Crime Prevention Research Center,anecdote
If,no-unit
"As the drawdown of the international troops drew nearer, we feared that the political climate would make it increasingly difficult to get the law anchored in parliament",anecdote
"On the one hand, I believe strongly that the Greens should be invited",assumption
"What explains this spate of violence, and is it a portent for the future of Afghanistan?",assumption
all could have been seen coming when Circle first got involved,assumption
Williams made a deal in which Helms pled guilty to a misdemeanor with no punishment,anecdote
So,no-unit
This made him even more attractive,assumption
Someone who is not terminally ill could still satisfy these requirements,assumption
What should we remember about one another that could bind us together while aggressively arguing the political and social issues that threaten to pull us apart?,assumption
"In 1932, the entire family - my grandpa included- were baptized",anecdote
"Like Muslims who fantasise about an ahistorical caliphate, conservative Europeans who dream of a bygone utopia of a Europe uncontaminated by Islam or immigration, miss the reality that the ""Islamisation of the West"" occurred centuries ago",assumption
", Shea explains that while the life extension programme was originally meant to provide NATO with a bargaining chip for future nuclear disarmament talks with the Kremlin, Russia's involvement in Eastern Ukraine fundamentally altered the strategic context, rendering the B61 ""once again a part of NATO's deterrence posture""",anecdote
Consequently,no-unit
"""Whatever you do for the least of your brothers and sisters, you do for me.""",testimony
These are the jobs that are fit for rapists,assumption
"Centring Muslim victims, instead of villains, would mitigate the backlash considerably",assumption
"So far, Ukraine had allegedly benefitted from the artificially low prices in the energy trade with Russia",assumption
either because the counselors have enormous caseloads or lack the resources and experience,assumption
"""Marilyn made the sultry red lip, creamy skin and dramatically lined eyes the most famous beauty look of the 1940s, and it's a look that continues to dominate the beauty and fashion industry. It is the ultimate look that defines glamour - nothing else compares,"" the spokeswoman said",testimony
Women were kept from schools and employment and forced into early marriages,assumption
--,no-unit
even if,no-unit
AsModd-NU the French political scene and its dutiful self-censoring media all cry crocodile tears after the attack,assumption
"President Bush, Senator Marco Rubio, and conservative Cuban- American legislators continued to push a hard line on Cuba",assumption
so,no-unit
"At ninety-one, it's the oldest, independent, Spanish-speaking Pentecostal organization in the country, with hundreds of churches in the United States, Mexico, and Central America",anecdote
"It may encourage a wave of Islamophobia that overwhelms the country- as well as other European countries - and could designate Muslims as the ""internal enemy""",assumption
Third,no-unit
It seems clear that this unexpected challenge to Armenia's reliance on Russia will not dissipate any time soon,assumption
 it is even spiced up by the enterprising resources of private spin,assumption
 it is possible to develop various scenarios that could offer a glimpse into what Russia's plans might be,assumption
"Mark Twain said:""Get your facts first, then you can distort them as much as you please.""",testimony
How could they be secured?,assumption
"The answers to these questions are obvious, as is the belief of most of those in government that they can write any law and regulate any behavior and ignore the Constitution they have sworn to uphold whenever they want",assumption
I am Eric Garner,anecdote
"Seven million Americans, who want full time employment, are consigned to part- time work--often in retailing and other lower paying service activities",assumption
It can hardly be conducted in open hearings,assumption
the elders also want young people to know that it's worth the effort,assumption
this measure would be a good first step to help alleviate that problem,assumption
"It is entitled ""La Nakba: Exode et Expulsion des Palestiniens en 1948"" ",anecdote
"How should sex work laws look like, if human rights are to be respected to the fullest extent?",assumption
Additionally,no-unit
We all are,assumption
 does Castro consider fair compensation?,assumption
Nigeria's old impeachment games.,title
"The country's heritage is being dug up, stolen or blasted to smithereens and the most effective armed groups in the country",assumption
"Mujica's plea is reflective of an emerging regional bloc different than the usual ""left-leaning"" one",assumption
"We didn't think there would be any problems at all.""",testimony
including whether those responsible should be sanctioned,anecdote
Why should North Korea venerate its Beloved Leader any less than Muslims venerate their Prophet?,assumption
do you value dirt?,assumption
Perhaps it was a barking dog or some other noise,assumption
but,no-unit
Do we meet terror with a greater terror of our own or do we seek another way?,assumption
The reality is more complex,assumption
Eleanor Roosevelt would have called it a gross violation of the very spirit of the Universal Declaration of Human Rights,assumption
Galloping inequality is the result of a million such decisions employers think prudent,assumption
images can't capture God- and that's the JewishIslamic position- then bring on the cartoonists,assumption
then they needed better qualifications,assumption
But,no-unit
and,no-unit
But,no-unit
What would the same confiscated properties be worth in today's dollars?,assumption
many of the older staff would still lose out,assumption
"And above all, there remains the CIA's ability to keep all the evidence of its crimes classified",assumption
What I've done is great!,assumption
When we see people not participating in our expressions of solidarity-- not showing their awareness of their own impotence-- we see something we can possibly change,assumption
This is a good thing for the Prime Minister,assumption
and,no-unit
because they remember what war costs,assumption
"For these reasons, in October, I joined 22 other security, interrogation and interviewing experts to issue a statement of principles in opposition to using torture",anecdote
"The CIA's torture programme, initiated almost immediately after the 911 attacks, remained a closely guarded secret for many years",assumption
Hopefully,no-unit
 the fraternities on campus have been silent as a whole,assumption
Should Van Den Bleeken have been allowed to die?,anecdote
"I remember discussing what we should tell our parents when they asked questions about where our new clothes came from, but don't remember anyone raising the moral alarm",anecdote
when you pull a string in his back,assumption
"He also introduced Europe to the idea of dining etiquette, from table cloths and crystal decanters to the three-course meal",anecdote
"On top of higher minimum wages and mandated business financed health benefits, he wants employers to pay for mandatory sick leave and six weeks of paid parental leave",assumption
Surely not,assumption
The world is still waiting for her to show similar leadership in the eurozone crisis,assumption
Joan Didion as the new face of Celine? That's so smart.,title
though I need hardly add that he has no plans to consider his position after his latest display of incompetence,assumption
So what's the connection?,assumption
Confessions of a teenage shoplifter.,title
Even so,no-unit
We reject this treatment as not just illegal but immoral,assumption
While,no-unit
So heaven knows what they'd make of an entire column on the subject,assumption
"In the wake of the financial crisis, unemployment peaked at 10 percent",statistics
because it is easier to speculate than it is to accept that we cannot prevent terrorism,assumption
...,no-unit
December 7 and September 11 are notable in part because in both cases horrendous violence against the people of the US was responded to with an act of Congress,assumption
which in turn create opportunities at home and abroad,assumption
Deadly terrorism seeks to stamp out the possibility of difference ,assumption
Of course,no-unit
"""I appreciate all the citizens who got on Facebook and the telephone and talked to each other",testimony
"Likewise, much of the US right wing appears to have seized upon American Sniper with similarly shallow comprehension - treating it with the same unconsidered, rah-rah reverence that they would the national anthem or the flag itself",assumption
"It is, therefore, ridiculous to accuse the US of yielding to the threat of a foreign dictator",assumption
which deepens their sense of marginalisation,assumption
and,no-unit
"Shall we unite together or shall we give in to division, discrimination and distrust?",assumption
"Even after Premier Khrushchev revealed Stalin's crimes to the world, hardcore leftists excused or ignored the truth, insisting still that Red terror wasn't terror and that Communism was a movement (religion?) of peace and progress, that humankind's hope still waited in the east",assumption
"Even after the devastation of World War II, European appetites for destruction were seemingly unsatiated",assumption
"Now that a black director has a chance to make Hollywood's first big movie about Dr  King, she sees it as time for payback and her own brand of distortion",assumption
yet they should forego partisanship and take this legislation seriously,assumption
They will not stop their westward drive and their pressure on any government to meet the demands of Maidan,assumption
That said,no-unit
By positing western liberal claims to freedom against Islam's supposedly intolerant attitude towards irreverent or serious critiques of it would be to ignore completely the history underlying the current tensions,assumption
Many people disagree with those laws,assumption
but,no-unit
but,no-unit
Cameron would rather look 'frit' than face a bashing from Farage.,title
"Yes, the chemicals also harm other normal cells",common-ground
so they thought,assumption
"Some will argue that ""now is not the time"" to start a public debate on NATO's tactical nukes",assumption
",.",no-unit
"""Hurtling off a cliff"" would work just as well",assumption
"Thank you, Texas and Oklahoma and North Dakota",other
--,no-unit
"In 2013, investment for smaller scale hydro clean energy fell 70 percent from $2.7bn to just $153m",statistics
"Recently, in Kinshasa, Democratic Republic of Congo, I stood with 1,000 young people",anecdote
"A 2008 study in Baltimore, Maryland by Peter Moskos documented precisely this shared mentality among both white and black officers",statistics
the union has never budged,assumption
He told the Globe he doesn't understand why Santa needs to visit the Peabody School,testimony
Broader audience,no-unit
"Keep walking, keep your faith and life will take you where you are supposed to go",assumption
the world did not expect Christians to condemn terrorism in the same way Muslims had,assumption
it became the lightning rod for France's disastrous foreign policy choices,assumption
and,no-unit
\.,no-unit
"""but if they're watching some old movie, maybe ""Guess Who's Coming to Dinner,"" or ""The Mary Tyler Moore Show,"" or ""Will and Grace"" and ""Modern Family,"" they've had a front-row seat to our march towards progress, even if their own nations haven't made that progress yet",testimony
seasoned shoppers know(1) value and(2) bargain do not mean the same thing,assumption
But we also have to understand the context,assumption
I want overcompensation,assumption
I was happy with my life at the orphanage in Bhopal,anecdote
- he built a church with his own hands,anecdote
- not least that both are filed away in many of our brains under the category of things that we know can swiftly destroy us but would prefer not to think about,assumption
"President Obama has no trouble prosecuting ""terrorists"" and ""whistle blowers"" or those deemed to have spied on the US",assumption
"These gangs e stablished their ""spheres of influence""",assumption
we just need to level the playing field,assumption
"The profoundly shocking standoff with all its disruptions to city life has struck fear in Sydneysiders, unaccustomed to these types of events",assumption
it was not an area of expertise that CIA officers or the US government possessed,testimony
So how can veterans get the results we want to see at the VA in the new year?,assumption
"there is easy money to be made from them, for three reasons",assumption
The president famously brought tears to Dr  King's eyes in 1965 when he told a joint session of Congress and a television audience of 70 million that every American should stand up for equal voting rights,anecdote
"In a trend that still intrigues historians and music critics, after World War II, scores of jazz musicians embraced Ahmadi Islam",assumption
"Even saying""Merry Christmas"" has taken a back seat to ""Happy Holidays.""",assumption
the Afghan people are still struggling,assumption
Similarly,no-unit
he had advised Allenby to take the city before the Holidays,anecdote
Focusing on the four agenda items above would send a message that the president is finally serious about governing in his last two years in office,assumption
They might reflect that a Muslim man will encounter xenophobia from the right,assumption
"The Democratic and Republican parties became more polarized -- with gun rights, immigration, abortion and health insurance leading people not only to argue the issues more vehemently with people from the other party, but to feel like they might have little in common with people from the other party, period",assumption
"I could afford your gorgeous, minimalist gear",assumption
while we are free to buy dog kennels priced like palaces in placeless estates so badly designed that community is dead on arrival,assumption
"we shrink it,",no-unit
It has been telling me what to do ever since,anecdote
though,no-unit
"Given the significance of the South China Sea to regional trade and security, non-claimant states such as the US, Japan, and Indonesia have also been drawn into the territorial disputes",assumption
it became clear that his party had failed to secure a majority,assumption
What happened to us?,assumption
These reforms will be good for Mexican society in general and also good for the pockets of Mexican and foreign oil investors,assumption
They expect some competency and humility from their social and political leaders,assumption
Electors have a right to see their potential prime ministers live and unfiltered and at length,assumption
"And the BBC and other broadcasters do use the empty chair, albeit on less high-profile occasions",assumption
This should be the practice going forward,assumption
" this was, as many locals put it, ""The buckle of the Bible belt.""",assumption
"""We need to accomplish, to realize all that we planned- for ourselves, for the sake of our children, and for the sake of Russia.""",testimony
while the Taliban will increase their offensive,assumption
"According to a third:""All the parties, including Ukip, took part in good faith except the Conservatives.""",testimony
Questioning the value of the debates is easy,assumption
"Get a chorus together and open with this old Sammy Cahn-Jule Styne number:""It seems to me I've heard that song before; it's from an old familiar score, I know it well, that melody.""",assumption
to believe that it was selfish to invest in their own lives just because they are no longer young,assumption
especially if you're telling them something they don't want to hear,assumption
It's all part of how media and the left redefine reality,assumption
"""I'm actually leasing (this house), and my lease runs out in two years. I hope to get my security deposit back,"" said Obama",testimony
"the hostility of the Republican Congress, mixed with his own political personality, has often led to marginal policy changes",assumption
"The extremists who are wreaking this havoc must be accountable to the people, via judicial institutions that serve the public",assumption
Even Russia is in a better position to manage the oil fall than the Soviet Union was,assumption
"Whether it is entirely true or not, it has been engraved into the Tory soul",assumption
"as an American political issue, racial tension was and is real enough",assumption
"Far more troubling, though, was the repulsive Watto from the disappointing prequel, ""The Phantom Menace""",assumption
"Absolutely nothing today indicates that Mexico can implement privatisation of the oil infrastructure at even the most basic standards of security, transparency, effectiveness and efficiency",assumption
we don't own this terrible reality collectively,assumption
But Russia is only part of the problem,assumption
"there is a true ""enemy""",assumption
It has been 30 years and justice continues to elude the people of Bhopal,assumption
"But as depressing as things look, it's important to keep hold of those youthful aspirations and harness them",assumption
"So the real ""curse"" is in fact an oil price collapse",assumption
The unity of millions that can stem from one evil act,no-unit
"We must insist on a probe of the dubious treatment regime adopted by the Italian NGO Emergency, followed by criminal prosecution in the event of malpractice",assumption
Here are five things to avoid as we enter the final shopping days before Christmas,assumption
Let me show him people who feel as if they have nowhere to turn,assumption
However,no-unit
"which would also include exhibitionism, voyeurism and fetishism of any kind",common-ground
"This connection, that links three deviant actors with an entire faith and millions of disconnected citizens, will fuel rabid backlash against Muslims in France, and more than likely, claim additional victims",assumption
Yet,no-unit
Everyone criticizing the film is on the sidelines hurling insults,assumption
"Syria, Yemen, and Libya are all examples of our failure to learn one of the fundamental lessons of the terrorist attacks of September 11, 2001",anecdote
It's no mere coincidence that at least two of the Charlie Hebdo attackers are reportedly of Algerian descent and the third from Senegal,assumption
I don't have one,anecdote
The next day dozens of school pupils were killed and 100 abducted in a repeat of the Boko Haram attack almost nine months ago,anecdote
A mixture of Sophie Ellis-Bextor and Taylor Swift is encouraging young attendees to adjust their pocket squares and hit the dance floor,anecdote
" we rationalise, how can we be safe?",assumption
we can continue to debate other aspects of the CIA programme,assumption
"If you think that sort of dishonest name-calling would fall on deaf ears, you don't know the United Nations",assumption
And this is the thing - every step of the way you reassess your judgment of what is crazy,assumption
and ultimately prescribes a superior concern for private property and material goods than for black life,assumption
Radical Islam has today charted a path that mirrors radical capitalism,assumption
"An incredibly brave piece of citizen journalism shot by a resident in a hijab showed a city dominated by young, bearded men with guns on every street corner imposing both their ideas of urban management and social control",anecdote
Their adrenal glands will thank you for it,assumption
Everybody I have ever talked to sounds just like me over the years,assumption
